id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5289254,Two-bedroom in Vasastan,25985813,Hanna,,Norrmalms,59.34482,18.03429,Entire home/apt,1100,6,23,2024-09-08,0.19,1,83,4,
5296050,Wonderful penthouse in the heart of Stockholm,27428901,Eva,,Södermalms,59.31791,18.05317,Entire home/apt,,6,8,2019-08-19,0.09,1,0,0,
5348547,Charming apt in The National Park,23178281,Henrik,,Östermalms,59.3727,18.0539,Entire home/apt,1491,7,8,2024-08-20,0.07,1,87,3,
5360266,Nice house close to Stockholm City,27786741,Lina,,Skarpnäcks,59.27917,18.11881,Entire home/apt,2000,5,22,2024-07-24,0.19,1,212,3,
5362220,New production apartment of 60 sqm  in Kungsholmen,27797274,Orhan,,Kungsholmens,59.33519,18.01226,Entire home/apt,,1,47,2022-04-07,0.42,1,0,0,
5426559,Large house 15 mins from central stockholm.,8342524,Jamie,,Hägersten-Liljeholmens,59.30385,17.96736,Entire home/apt,,4,6,2018-04-16,0.05,2,0,0,
5496444,spacious newly renovated 4 bedroom,28506733,Jana,,Södermalms,59.31723,18.03132,Entire home/apt,2999,5,17,2024-08-07,0.14,1,82,2,
5545190,"Charming apartment, 18min to the city",28751253,Elena,,Skarpnäcks,59.27611,18.12659,Entire home/apt,,2,30,2022-04-18,0.33,1,0,0,
5559364,Stort lyxigt rum 15 min till city,28820921,Kerstin,,Hägersten-Liljeholmens,59.30024,17.95386,Private room,500,2,185,2024-11-17,1.57,1,339,19,
5559557,"Spacious two-level apartment, nearby the water.",2284827,Anna,,Södermalms,59.30732,18.06689,Entire home/apt,,10,6,2024-08-14,0.05,1,0,1,
5574577,Lakeside B&B close to city center,28169993,Maria  & Per,,Älvsjö,59.26551,17.97737,Private room,,1,53,2024-05-19,0.45,1,0,1,
5636187,Mitt i Stockholm nära Djurgården,29210804,Kristina,,Östermalms,59.33383,18.08866,Entire home/apt,1500,3,41,2024-09-01,0.36,1,32,3,
5655177,Hip and heavenly Hammarby Höjden!,27281864,John,,Skarpnäcks,59.29552,18.10523,Private room,,30,2,2023-05-31,0.02,2,358,0,
